2026-01-31 10:05:37,498 INFO    StreamThr :28140 [internal.py:wandb_internal():86] W&B internal server running at pid: 28140, started at: 2026-01-31 10:05:37.497662
2026-01-31 10:05:37,502 DEBUG   HandlerThread:28140 [handler.py:handle_request():146] handle_request: status
2026-01-31 10:05:37,510 INFO    WriterThread:28140 [datastore.py:open_for_write():85] open: D:\ecommerce-product-classifier\wandb\run-20260131_100537-jsx8lyh2\run-jsx8lyh2.wandb
2026-01-31 10:05:37,514 DEBUG   SenderThread:28140 [sender.py:send():380] send: header
2026-01-31 10:05:37,623 DEBUG   SenderThread:28140 [sender.py:send():380] send: run
2026-01-31 10:05:39,334 INFO    SenderThread:28140 [dir_watcher.py:__init__():211] watching files in: D:\ecommerce-product-classifier\wandb\run-20260131_100537-jsx8lyh2\files
2026-01-31 10:05:39,336 INFO    SenderThread:28140 [sender.py:_start_run_threads():1124] run started: jsx8lyh2 with start time 1769835937.500924
2026-01-31 10:05:39,375 DEBUG   HandlerThread:28140 [handler.py:handle_request():146] handle_request: check_version
2026-01-31 10:05:39,376 DEBUG   SenderThread:28140 [sender.py:send_request():407] send_request: check_version
2026-01-31 10:05:41,228 DEBUG   HandlerThread:28140 [handler.py:handle_request():146] handle_request: run_start
2026-01-31 10:05:41,260 DEBUG   HandlerThread:28140 [system_info.py:__init__():32] System info init
2026-01-31 10:05:41,260 DEBUG   HandlerThread:28140 [system_info.py:__init__():47] System info init done
2026-01-31 10:05:41,260 INFO    HandlerThread:28140 [system_monitor.py:start():194] Starting system monitor
2026-01-31 10:05:41,262 INFO    SystemMonitor:28140 [system_monitor.py:_start():158] Starting system asset monitoring threads
2026-01-31 10:05:41,263 INFO    HandlerThread:28140 [system_monitor.py:probe():214] Collecting system info
2026-01-31 10:05:41,270 INFO    SystemMonitor:28140 [interfaces.py:start():190] Started cpu monitoring
2026-01-31 10:05:41,271 DEBUG   HandlerThread:28140 [system_info.py:probe():196] Probing system
2026-01-31 10:05:41,271 INFO    SystemMonitor:28140 [interfaces.py:start():190] Started disk monitoring
2026-01-31 10:05:41,276 INFO    SystemMonitor:28140 [interfaces.py:start():190] Started memory monitoring
2026-01-31 10:05:41,322 INFO    SystemMonitor:28140 [interfaces.py:start():190] Started network monitoring
2026-01-31 10:05:41,324 DEBUG   HandlerThread:28140 [system_info.py:_probe_git():181] Probing git
2026-01-31 10:05:41,505 DEBUG   HandlerThread:28140 [system_info.py:_probe_git():189] Probing git done
2026-01-31 10:05:41,505 DEBUG   HandlerThread:28140 [system_info.py:probe():244] Probing system done
